Pcia,Comuna,Total de viviendas particulares,Total de viviendas colectivas,Total de población,Población en viviendas particulares,Población en viviendas colectivas (1),Población en situación de calle (vía pública)
La Rioja,General Ortiz de Ocampo,3.081,2,7.360,7.358,2,
La Rioja,General San Martín,2.057,3,5.028,5.026,2,
La Rioja,Independencia,968,4,2.405,2.403,2,
La Rioja,Rosario Vera Peñaloza,7.150,18,15.441,15.422,19,
La Rioja,San Blas de los Sauces,2.088,9,4.317,4.310,7,
La Rioja,Sanagasta,2.058,8,2.847,2.803,44,
La Rioja,Vinchina,1.232,6,2.686,2.681,5,
Mendoza,Capital,60.477,249,122.840,118.930,3.899,11
Mendoza,General Alvear,20.108,98,50.209,49.930,279,
Mendoza,Godoy Cruz,72.157,49,195.183,194.542,638,3
Mendoza,Guaymallén,108.096,123,321.371,320.278,1.086,7
Mendoza,Junín,14.593,19,45.673,45.459,214,
Mendoza,La Paz,4.402,20,12.020,11.931,89,
Mendoza,Las Heras,73.399,132,228.525,227.885,640,
Mendoza,Lavalle,14.672,15,47.529,47.448,81,
Mendoza,Luján de Cuyo,59.479,167,172.109,168.952,3.157,
Mendoza,Maipú,67.727,50,214.412,213.797,615,
Mendoza,Malargüe,12.301,105,33.107,32.977,130,
Mendoza,Rivadavia,20.908,24,63.473,63.338,135,
Mendoza,San Carlos,13.528,44,40.024,39.912,112,
Mendoza,San Martín,44.533,41,138.429,138.047,382,
Mendoza,San Rafael,82.865,487,210.478,209.068,1.410,
Mendoza,Santa Rosa,6.475,17,19.410,19.407,3,
Mendoza,Tunuyán,19.527,70,58.780,58.534,246,
Mendoza,Tupungato,13.107,34,40.961,40.846,115,
Misiones,Apóstoles,18.597,20,51.169,51.073,96,
Misiones,Cainguás,21.611,29,59.569,59.476,93,
Misiones,Candelaria,13.097,2,35.710,35.394,316,
Misiones,Capital,144.457,98,393.612,392.072,1.514,26
Misiones,Concepción,3.766,8,10.139,10.108,31,
Misiones,Eldorado,31.902,41,91.824,91.162,662,
Misiones,General Manuel Belgrano,16.453,23,46.724,46.609,115,
Misiones,Guaraní,28.246,16,77.150,77.066,84,
Misiones,Iguazú,34.979,181,99.013,98.673,340,
Misiones,Leandro N. Alem,18.914,12,50.322,49.907,415,
Misiones,Libertador General San Martín,19.531,21,52.503,52.241,262,
Misiones,Montecarlo,14.086,20,38.317,38.263,54,
Misiones,Oberá,44.475,74,121.990,120.995,995,
Misiones,San Ignacio,23.237,70,63.990,63.726,264,
Misiones,San Javier,8.696,14,23.357,22.970,387,
